event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     150       1|        e-|        11|             1|       679.446|    -0.0568771|       2.58496|       680.545|     -0.117676
     150       2|        e-|        11|             1|       579.927|      0.687622|      0.339966|       722.517|       0.22937
     151       1|       mu-|        13|            -1|       998.479|       0.49646|     0.0879974|       1124.08|      0.105713
     151       2|       mu-|        13|            -1|       431.678|   -0.00773335|       2.56445|       431.691|      0.105713
     152       1|        e-|        11|            -1|       864.527|       1.33252|       -1.2605|       1752.57|      0.359131
     152       2|       mu-|        13|            -1|       441.066|       1.00317|       1.97607|       682.248|      0.105713
     153       1|        e-|        11|            -1|       744.012|       0.58667|      -2.19189|       875.764|      0.236328
     153       2|        e-|        11|            -1|       397.499|     -0.654175|      0.670166|        485.63|    -0.0265198
     153       3|        e-|        11|             1|       13.3829|      -1.99561|     -0.930908|       50.1363|     0.0149231
     154       1|        e-|        11|            -1|       728.245|     -0.216644|      0.899414|       745.402|     -0.283936
     154       2|       mu-|        13|             1|       746.234|       1.40918|      -2.33398|       1618.19|      0.105713
     155       1|       mu-|        13|             1|        953.42|      -0.80896|      0.400757|       1282.78|      0.105713
     155       2|       mu-|        13|            -1|       578.512|      0.139465|       1.69189|       584.147|      0.105713
     156       1|        e-|        11|            -1|       1217.08|      -1.10986|       2.60205|       2046.85|     -0.438965
     156       2|        e-|        11|             1|       394.105|      -1.07544|      -1.26855|        644.84|    -0.0199127
     156       3|        e-|        11|             1|       40.3883|      -0.46405|    -0.0880737|       44.8155|    0.00945282
     156       4|       mu-|        13|             1|       1159.81|      0.136841|      0.233734|       1170.68|      0.105713
     156       5|       mu-|        13|             1|       484.706|    -0.0515671|      -1.92798|        485.35|      0.105713
     157       1|       mu-|        13|            -1|       610.236|      0.275818|       -3.1377|       633.595|      0.105713
     157       2|       mu-|        13|             1|       480.168|     -0.580078|     -0.992065|       563.245|      0.105713
     157       3|       mu-|        13|            -1|       127.865|     -0.447998|      -2.17871|       140.912|      0.105713
     158       1|        e-|        11|             1|       830.496|      0.950195|      -1.36694|       1234.48|     -0.403076
     158       2|       mu-|        13|            -1|       839.227|      0.692627|       1.12939|       1048.71|      0.105713
     158       3|       mu-|        13|             1|       418.209|       1.53394|       2.37451|       1014.59|      0.105713
     159       1|        e-|        11|             1|       1112.19|      -1.30151|      -2.39941|       2194.89|      0.347656
     159       2|        e-|        11|             1|       696.595|     -0.518311|       1.11035|       792.278|     -0.224487
     159       3|       mu-|        13|            -1|       398.775|      -1.36768|       0.33429|       833.621|      0.105713
     160       1|        e-|        11|            -1|       565.544|      -0.90979|      0.239838|       816.195|      0.203003
     160       2|       mu-|        13|             1|       886.745|      -1.10864|      -2.00879|       1489.84|      0.105713
     160       3|       mu-|        13|            -1|        692.02|      0.335815|       1.95947|       731.408|      0.105713
     160       4|       mu-|        13|             1|       119.965|       1.48486|      0.337097|       278.372|      0.105713
     161       1|        e-|        11|            -1|       846.615|      0.675781|    -0.0130692|        1047.4|      0.198242
     161       2|       mu-|        13|             1|       935.409|      0.700684|      -3.08154|       1174.58|      0.105713
     161       3|       mu-|        13|            -1|       568.005|       1.50757|       1.92651|       1345.37|      0.105713
     161       4|       mu-|        13|             1|       556.835|    -0.0243721|      -1.04907|           557|      0.105713
     162       1|        e-|        11|             1|       709.375|      0.422607|       2.08398|       773.669|     -0.211792
     162       2|        e-|        11|            -1|       545.366|     -0.137543|     -0.618286|       550.532|    -0.0770264
     162       3|       mu-|        13|            -1|       1264.65|    0.00329065|      -2.41895|       1264.66|      0.105713
     163       1|        e-|        11|            -1|       746.425|      -1.31104|      -2.86182|       1485.22|     -0.514648
     163       2|       mu-|        13|            -1|        681.86|     -0.206177|       1.95508|       696.404|      0.105713
     163       3|       mu-|        13|             1|       452.194|      0.129974|     -0.634033|       456.019|      0.105713
     164       1|        e-|        11|             1|       692.614|      -1.64307|      0.360046|       1857.73|      0.406738
     164       2|       mu-|        13|             1|       750.231|      -1.24438|       2.56689|       1410.03|      0.105713
     164       3|       mu-|        13|            -1|       222.172|      -2.21387|      -2.96973|       1028.69|      0.105713
     165       1|        e-|        11|             1|       822.614|      0.452393|      -2.40039|       908.238|      0.187866
     165       2|       mu-|        13|            -1|       643.946|      0.191254|       2.99951|       655.759|      0.105713
     166       1|        e-|        11|             1|       1135.65|     -0.386597|      -1.96753|       1221.57|     -0.148071
     166       2|       mu-|        13|            -1|       1189.15|      -1.88037|       1.39233|       3988.69|      0.105713
     166       3|       mu-|        13|            -1|       247.056|      0.185883|      0.336487|       251.337|      0.105713
     167       1|       mu-|        13|             1|       1126.65|      0.292664|       2.83154|       1175.25|      0.105713
     167       2|       mu-|        13|             1|        511.06|      0.320801|     -0.151825|       537.583|      0.105713
     167       3|       mu-|        13|            -1|       482.566|     -0.130981|       2.16113|       486.711|      0.105713
     168       1|        e-|        11|            -1|       869.423|      0.575684|      0.489075|       1017.51|     -0.140503
     168       2|        e-|        11|            -1|       575.388|     -0.534302|       -1.1272|        659.49|     -0.163086
     168       3|       mu-|        13|             1|       912.414|   0.000476778|      -2.56689|       912.414|      0.105713
     168       4|       mu-|        13|             1|       296.682|     0.0148907|       1.83984|       296.715|      0.105713
     169       1|        e-|        11|             1|       794.963|     -0.565186|       -1.5437|       925.349|      0.228149
     169       2|        e-|        11|             1|        335.22|      -1.22046|      0.145233|       617.449|     -0.115417
     169       3|       mu-|        13|            -1|       403.102|     -0.325684|       1.85596|        424.67|      0.105713
     170       1|        e-|        11|            -1|       741.626|     -0.270142|      -1.84131|       768.852|    -0.0703125
     170       2|        e-|        11|             1|       251.124|      0.862183|      -1.89502|       350.389|    -0.0905151
     170       3|       mu-|        13|            -1|       503.481|       0.82666|      0.164276|       685.535|      0.105713
     171       1|        e-|        11|             1|       1176.85|      0.210632|      0.767456|       1203.05|       0.23645
     171       2|        e-|        11|            -1|       748.132|      0.307373|      -2.89746|       783.752|      0.207397
     171       3|       mu-|        13|            -1|       423.009|     -0.532104|     -0.819946|        484.32|      0.105713
     171       4|       mu-|        13|             1|       345.764|     -0.401672|      -2.00928|       374.034|      0.105713
     172       1|       mu-|        13|            -1|       977.642|      -0.99585|      -2.06396|       1503.83|      0.105713
     172       2|       mu-|        13|             1|       777.501|      -1.26245|      0.290344|       1483.87|      0.105713
     172       3|       mu-|        13|            -1|       254.165|      0.607666|       1.73413|       302.553|      0.105713
     173       1|        e-|        11|            -1|       441.591|      -2.28125|      -3.01709|        2183.9|      0.525879
     173       2|       mu-|        13|            -1|       1164.15|     -0.595581|       2.88623|        1376.8|      0.105713
     173       3|       mu-|        13|             1|       697.053|     -0.651978|      0.812134|       850.526|      0.105713
     174       1|        e-|        11|            -1|       475.678|     -0.289001|       1.12842|       495.682|     0.0632935
     174       2|       mu-|        13|             1|       1050.56|     -0.245239|       2.16748|       1082.31|      0.105713
     174       3|       mu-|        13|            -1|       458.968|     -0.307556|      -1.03174|       480.846|      0.105713
     174       4|       mu-|        13|             1|       348.489|        1.0459|      -2.21484|       557.117|      0.105713
     175       1|        e-|        11|            -1|       849.495|     -0.483215|      0.997314|       950.618|      -0.23999
     175       2|        e-|        11|            -1|       516.986|      0.581909|     -0.937866|       607.014|      0.126587
     175       3|        e-|        11|             1|       422.735|      0.313477|       2.47266|       443.676|     -0.141724
     176       1|       mu-|        13|             1|       649.471|     -0.619263|      -1.30298|       778.033|      0.105713
     176       2|       mu-|        13|             1|        360.07|      -1.07715|       2.43018|        589.95|      0.105713
     177       1|        e-|        11|            -1|       1549.31|       1.37573|       2.83643|       3261.78|     -0.744629
     177       2|        e-|        11|             1|       69.6763|       2.46045|       2.46387|       410.932|     0.0884399
     177       3|       mu-|        13|             1|       1320.46|     0.0497208|     -0.166473|       1322.09|      0.105713
     177       4|       mu-|        13|            -1|       25.5425|       -1.3689|     -0.954834|       53.4529|      0.105713
     178       1|        e-|        11|             1|       393.055|       -1.4563|      -1.23218|       888.923|    -0.0790405
     178       2|       mu-|        13|            -1|       1431.62|      -1.02148|      -2.69092|       2245.76|      0.105713
     178       3|       mu-|        13|             1|       948.863|     -0.426025|      0.890625|       1036.28|      0.105713
     179       1|        e-|        11|             1|       1150.02|      0.186279|       1.50854|       1170.03|      0.236694
     179       2|        e-|        11|            -1|        666.33|     -0.162506|      -1.13379|       675.147|    -0.0949097
     179       3|        e-|        11|             1|       612.543|      0.845337|    -0.0526733|        844.75|      0.227539
     180       1|        e-|        11|             1|       1139.66|      -0.55896|     -0.988159|       1322.38|     0.0418701
     180       2|        e-|        11|             1|       356.463|      -1.38599|       3.00635|       757.278|    -0.0499268
     180       3|       mu-|        13|            -1|       397.157|     -0.996094|      -3.04053|       611.027|      0.105713
     181       1|       mu-|        13|             1|       794.303|     -0.466003|       2.60205|       882.121|      0.105713
     181       2|       mu-|        13|             1|       719.938|      0.413635|      -1.90771|        782.41|      0.105713
     181       3|       mu-|        13|            -1|       706.622|       1.04199|      0.175873|       1126.22|      0.105713
     182       1|        e-|        11|            -1|       907.885|      -1.32983|      0.499023|       1836.17|        0.4646
     182       2|       mu-|        13|             1|       1044.58|    -0.0154819|      -2.86084|       1044.71|      0.105713
     182       3|       mu-|        13|             1|       510.892|     -0.870972|       1.51001|       717.235|      0.105713
     183       1|       mu-|        13|             1|       1179.27|     -0.457336|      -1.89893|       1304.76|      0.105713
     183       2|       mu-|        13|             1|       197.523|      0.807983|       1.03687|       265.583|      0.105713
     183       3|       mu-|        13|            -1|       160.046|       1.63403|       1.77832|       425.694|      0.105713
     184       1|        e-|        11|             1|       797.229|      0.876709|       3.10498|       1123.75|     -0.280273
     184       2|        e-|        11|            -1|       710.657|       1.14917|      0.619385|       1233.87|      0.403076
     184       3|        e-|        11|             1|        508.49|       1.08838|    -0.0363998|        840.59|      0.279541
     184       4|       mu-|        13|            -1|       518.306|      0.250183|      -2.14746|       534.611|      0.105713
     185       1|        e-|        11|            -1|       607.732|       1.06763|      0.689941|       988.261|     -0.254395
     185       2|       mu-|        13|            -1|       535.069|     -0.147156|       2.98633|       540.873|      0.105713
     186       1|        e-|        11|             1|       396.014|      -0.27594|      -2.19287|       411.186|     -0.062561
     186       2|       mu-|        13|            -1|       929.766|     -0.277771|      0.908936|       965.866|      0.105713
     187       1|        e-|        11|            -1|        33.785|      0.965698|      -1.79297|       50.8015|     0.0145721
     187       2|       mu-|        13|             1|       866.375|     -0.976685|      -2.15674|       1313.51|      0.105713
     187       3|       mu-|        13|             1|       676.748|     -0.430725|     -0.319763|       740.501|      0.105713
     188       1|        e-|        11|            -1|       1220.23|      0.441223|       -2.8125|       1340.94|      0.117004
     188       2|       mu-|        13|             1|       650.727|     0.0448151|     -0.852539|        651.38|      0.105713
     189       1|        e-|        11|            -1|       504.429|      0.905273|       3.11328|       725.631|      0.176514
     189       2|       mu-|        13|             1|       580.757|        -1.073|       1.80664|       948.409|      0.105713
     189       3|       mu-|        13|             1|       133.678|     -0.583862|     0.0806274|       157.117|      0.105713
     190       1|        e-|        11|            -1|       1023.95|      -0.80896|      -2.16211|       1377.67|    -0.0861816
     190       2|        e-|        11|             1|        772.46|      -0.58728|       2.30566|       909.542|     -0.224365
     190       3|        e-|        11|            -1|       369.562|      0.512451|     -0.341614|       419.158|     -0.151367
     190       4|       mu-|        13|             1|       972.047|     -0.903198|      0.458923|       1396.23|      0.105713
     191       1|        e-|        11|             1|       1499.77|     -0.357178|       1.31348|       1596.45|      0.302979
     191       2|       mu-|        13|             1|       454.893|      -1.48315|       2.28174|       1053.93|      0.105713
     191       3|       mu-|        13|            -1|       410.703|     -0.201477|    -0.0976257|       419.067|      0.105713
     192       1|        e-|        11|            -1|        344.39|     -0.305664|       1.13574|       360.604|    -0.0685425
     192       2|       mu-|        13|            -1|        1307.3|     -0.249207|      -1.63477|        1348.1|      0.105713
     192       3|       mu-|        13|             1|       1059.02|    -0.0942078|       1.31128|       1063.73|      0.105713
     192       4|       mu-|        13|             1|       452.918|     -0.450378|      -2.63428|       499.634|      0.105713
     193       1|        e-|        11|            -1|       412.506|     0.0591354|     -0.639404|       413.227|     -0.113525
     193       2|       mu-|        13|             1|       1582.76|      0.612427|       1.39087|       1888.97|      0.105713
     194       1|        e-|        11|             1|       280.115|       0.49176|        1.7373|       314.673|     0.0488281
     194       2|       mu-|        13|             1|        836.36|      0.622314|     -0.218994|       1003.61|      0.105713
     194       3|       mu-|        13|            -1|       688.726|     -0.374084|      -2.34277|        737.48|      0.105713
     195       1|        e-|        11|            -1|       349.574|    -0.0753479|       2.19385|       350.567|    -0.0331726
     195       2|        e-|        11|             1|       303.759|       1.76733|      0.239014|       915.228|     -0.167236
     195       3|        e-|        11|             1|       261.141|      -1.18506|       2.47803|           467|      0.137085
     195       4|       mu-|        13|            -1|       758.031|      0.872314|       -1.3396|       1065.19|      0.105713
     196       1|        e-|        11|             1|       569.549|      0.377625|     -0.936279|       610.643|    -0.0699463
     196       2|        e-|        11|             1|       315.249|     -0.481995|       2.94971|       352.583|     0.0400391
     196       3|       mu-|        13|            -1|       474.012|      -1.44434|     -0.636353|       1060.59|      0.105713
     197       1|        e-|        11|            -1|       468.337|       1.22534|       1.32642|       866.186|      0.261719
     197       2|       mu-|        13|             1|       888.946|      0.469482|      -2.68848|       988.726|      0.105713
     197       3|       mu-|        13|            -1|       571.954|     -0.623413|     -0.249756|       686.744|      0.105713
     197       4|       mu-|        13|             1|       239.175|      -0.85791|     0.0506363|       332.725|      0.105713
     198       1|        e-|        11|             1|       1731.47|     -0.391113|       3.12109|       1865.59|     -0.649902
     198       2|        e-|        11|            -1|       1697.62|     -0.843506|      0.308838|       2338.22|      0.790527
     199       1|       mu-|        13|             1|       426.709|      0.501221|      0.977417|        481.44|      0.105713
     199       2|       mu-|        13|            -1|       412.496|      0.609131|       2.52002|       491.418|      0.105713
     199       3|       mu-|        13|            -1|       69.3882|      -1.25146|       1.67212|       131.197|      0.105713
     200       1|        e-|        11|            -1|       123.809|       1.32251|      0.822021|       248.812|    -0.0406189
     200       2|       mu-|        13|            -1|       1071.64|     -0.846558|      0.599121|       1479.13|      0.105713
     201       1|        e-|        11|            -1|       787.988|    -0.0272636|      0.635864|        788.28|     -0.204834
     201       2|        e-|        11|             1|       513.374|      -1.62988|      -2.85986|       1360.24|      0.249634
     201       3|       mu-|        13|            -1|       519.158|     -0.852661|       -1.3064|       719.595|      0.105713
     201       4|       mu-|        13|             1|       476.123|      0.501343|       2.98047|       537.223|      0.105713
     202       1|        e-|        11|             1|       817.043|     -0.584595|      -1.72363|       960.678|     -0.339355
     202       2|        e-|        11|            -1|       496.914|      0.847412|       2.72461|       686.269|     -0.202759
     202       3|       mu-|        13|            -1|       676.826|     -0.289551|      0.458008|       705.397|      0.105713
     202       4|       mu-|        13|             1|       166.162|       1.68701|       1.68286|       464.288|      0.105713
     203       1|        e-|        11|            -1|       997.553|      0.981812|      -0.66687|       1518.24|      0.239258
     203       2|        e-|        11|            -1|       465.076|      0.132141|      -2.62695|       469.143|    -0.0325928
     203       3|       mu-|        13|             1|       873.222|      0.645874|      0.715576|       1061.78|      0.105713
     203       4|       mu-|        13|             1|       651.512|      0.473999|       2.94482|       726.082|      0.105713
     204       1|        e-|        11|             1|        798.31|      -1.20068|      0.719482|       1446.29|      0.207397
     204       2|        e-|        11|             1|       109.853|       1.62964|      -2.59668|       291.001|    -0.0768433
     204       3|       mu-|        13|            -1|       347.596|      -2.37256|      -2.44336|       1880.16|      0.105713
     204       4|       mu-|        13|            -1|       297.713|      0.459595|      -2.37305|       329.713|      0.105713
     205       1|       mu-|        13|            -1|       983.713|      0.436768|      -2.31836|       1079.04|      0.105713
     205       2|       mu-|        13|             1|       960.307|      0.098053|      0.156982|       964.927|      0.105713
     205       3|       mu-|        13|             1|       379.431|      0.911743|       2.44189|        548.37|      0.105713
     206       1|        e-|        11|             1|       550.011|      0.536987|       2.70996|       631.234|      0.156006
     206       2|       mu-|        13|            -1|       455.121|      0.619751|        2.1709|       545.359|      0.105713
     207       1|        e-|        11|            -1|       1542.55|      0.290894|      0.415527|       1608.28|      -0.54248
     207       2|       mu-|        13|             1|        771.07|      0.598022|       2.73047|       913.107|      0.105713
     207       3|       mu-|        13|            -1|       324.918|    -0.0436325|       2.59326|       325.227|      0.105713
     208       1|        e-|        11|             1|       870.016|     -0.279297|      0.840332|       904.171|       0.27124
     208       2|        e-|        11|            -1|       459.624|     -0.291016|     -0.188202|       479.224|     0.0951538
     208       3|       mu-|        13|            -1|       949.767|     -0.771362|      -2.72119|       1246.61|      0.105713
     208       4|       mu-|        13|             1|       528.661|     -0.263672|      -2.93115|       547.145|      0.105713
     209       1|        e-|        11|             1|       537.916|      -1.04639|      -2.31934|       860.275|      -0.19458
     209       2|        e-|        11|            -1|       542.827|      -0.61499|      0.801147|       648.756|      0.209229
     209       3|       mu-|        13|            -1|       872.582|     -0.689819|      -2.89062|       1088.56|      0.105713
     210       1|        e-|        11|            -1|       1213.93|      0.136963|       3.00537|       1225.34|     -0.268066
     210       2|       mu-|        13|             1|       771.257|     -0.230377|     -0.771484|       791.814|      0.105713
     210       3|       mu-|        13|             1|       52.1883|     -0.552979|       1.00879|        60.373|      0.105713
     211       1|        e-|        11|             1|       690.914|     -0.317139|      -3.05664|       725.951|      0.192017
     211       2|        e-|        11|             1|       452.027|      0.819458|      0.353271|       612.483|      0.116943
     211       3|       mu-|        13|            -1|       132.177|      -2.14746|      0.870361|       573.638|      0.105713
     212       1|        e-|        11|             1|       641.423|     -0.295105|      -2.93506|       669.557|     -0.150024
     212       2|       mu-|        13|            -1|       1000.72|     -0.341736|      -1.09717|       1059.73|      0.105713
     212       3|       mu-|        13|             1|       810.333|       1.29126|       1.42358|       1585.13|      0.105713
     213       1|        e-|        11|            -1|       980.625|     -0.391724|      -2.77783|       1056.83|      -0.25708
     213       2|       mu-|        13|             1|       1017.46|     -0.161194|     -0.385986|       1030.71|      0.105713
     214       1|        e-|        11|            -1|       598.888|      0.195953|       2.33203|       610.423|      0.189331
     214       2|        e-|        11|             1|       152.032|      -2.24023|      0.340332|       722.302|     -0.155396
     214       3|       mu-|        13|            -1|       749.497|      0.237885|      -1.53271|       770.804|      0.105713
     215       1|        e-|        11|             1|       1097.77|      0.278809|      0.354858|       1140.72|     -0.174316
     215       2|        e-|        11|            -1|       316.324|      0.491272|    -0.0199623|        355.27|     0.0839233
     215       3|       mu-|        13|            -1|        1432.2|      0.589478|      -2.86719|       1688.32|      0.105713
     216       1|        e-|        11|            -1|       1255.66|      0.194641|      -2.32422|       1279.53|     -0.436523
     216       2|       mu-|        13|            -1|       380.376|     -0.631226|       1.85083|       458.705|      0.105713
     217       1|       mu-|        13|            -1|       400.043|      0.651489|      0.941162|       487.985|      0.105713
     217       2|       mu-|        13|             1|       186.523|     -0.258301|     -0.785767|        192.78|      0.105713
     218       1|        e-|        11|            -1|       324.836|        2.0918|       1.71362|       1335.55|      0.365479
     218       2|       mu-|        13|            -1|       689.943|      0.250793|      -2.41699|       711.754|      0.105713
     218       3|       mu-|        13|             1|        511.98|     -0.397949|       1.63135|       553.057|      0.105713
     219       1|        e-|        11|             1|       1027.18|     -0.571167|       2.64258|       1199.34|     -0.223511
     219       2|        e-|        11|             1|       736.862|      0.391357|       1.50708|       794.015|     -0.151855
     219       3|       mu-|        13|            -1|       1787.98|       1.10937|     -0.454773|        3005.8|      0.105713
     220       1|        e-|        11|            -1|       1197.97|     -0.430847|       2.38916|       1310.89|      0.349854
     220       2|       mu-|        13|             1|       1255.19|     -0.175323|      -1.22607|       1274.53|      0.105713
     220       3|       mu-|        13|             1|       398.752|      0.133606|       1.16626|       402.316|      0.105713
     221       1|        e-|        11|            -1|       1767.39|      -0.70166|       1.31274|        2220.6|      0.743652
     221       2|       mu-|        13|             1|       1208.57|     0.0747223|      -1.84961|       1211.94|      0.105713
     221       3|       mu-|        13|             1|       374.925|      -1.56519|      -2.35742|       935.927|      0.105713
     221       4|       mu-|        13|            -1|       97.0812|     -0.498535|     -0.993286|       109.397|      0.105713
     222       1|        e-|        11|             1|       606.042|     -0.044487|        1.3916|       606.641|      0.144531
     222       2|        e-|        11|            -1|       537.866|       1.64844|       1.90063|       1449.87|     -0.510254
     222       3|       mu-|        13|             1|       650.636|      0.833374|     -0.983643|       889.956|      0.105713
     223       1|       mu-|        13|             1|       1610.08|     -0.187836|      0.918213|       1638.57|      0.105713
     223       2|       mu-|        13|             1|       311.897|     0.0223503|      -3.09424|       311.975|      0.105713
     224       1|        e-|        11|            -1|       912.284|     -0.620972|      -1.69702|        1093.9|      0.311035
     224       2|        e-|        11|             1|       315.528|       1.55469|      0.634521|       780.121|      0.225464
     224       3|       mu-|        13|            -1|       213.067|      0.987183|      -1.39917|       325.598|      0.105713
     225       1|        e-|        11|            -1|       1760.42|      0.304504|       2.91895|       1842.67|     -0.481934
     225       2|        e-|        11|             1|       1294.62|     0.0995026|     -0.306885|       1301.03|     -0.321289
     225       3|        e-|        11|             1|       788.382|       1.22168|     -0.809204|       1453.63|     -0.248169
     225       4|       mu-|        13|            -1|       546.093|      0.882813|       1.69678|       773.078|      0.105713
     226       1|        e-|        11|            -1|       878.794|      -0.03862|       -1.9021|       879.449|     -0.181641
     226       2|        e-|        11|             1|        531.09|     -0.924438|      0.114426|       774.649|     -0.192505
     226       3|       mu-|        13|             1|       308.689|      -1.31714|       2.31885|       617.474|      0.105713
     227       1|        e-|        11|             1|       282.616|       0.21228|      -2.14746|       289.008|     0.0334167
     227       2|       mu-|        13|            -1|       284.354|      0.229645|     -0.276733|       291.885|      0.105713
     228       1|        e-|        11|             1|       572.142|      0.611084|     -0.267517|       682.333|     -0.201538
     228       2|       mu-|        13|            -1|       799.515|     -0.337036|      -2.96338|       845.356|      0.105713
     228       3|       mu-|        13|            -1|       353.022|      0.834961|         1.177|       483.396|      0.105713
     229       1|        e-|        11|            -1|       1655.92|     0.0535431|       2.25635|       1658.29|      0.497559
     229       2|        e-|        11|             1|       598.666|        1.0105|      -1.57373|       931.226|      0.124695
     229       3|       mu-|        13|             1|       1261.27|     0.0141983|     -0.322083|        1261.4|      0.105713
     229       4|       mu-|        13|            -1|       284.845|      0.303772|      -1.75854|       298.089|      0.105713
     230       1|       mu-|        13|            -1|       732.304|     -0.794556|      -2.89551|       975.883|      0.105713
     230       2|       mu-|        13|             1|       582.722|       1.30688|        1.7937|       1155.34|      0.105713
     230       3|       mu-|        13|             1|       491.511|     -0.119659|    -0.0170441|       495.034|      0.105713
     230       4|       mu-|        13|            -1|       401.004|      0.658203|      -1.01758|        491.05|      0.105713
     231       1|        e-|        11|             1|       885.075|      -1.18481|      0.137268|       1582.46|      -0.24231
     231       2|       mu-|        13|             1|       735.072|      0.316223|     -0.295959|       772.132|      0.105713
     231       3|       mu-|        13|            -1|       382.459|     -0.672852|        2.1499|        472.35|      0.105713
     232       1|        e-|        11|             1|       1147.48|     -0.471741|         2.646|       1277.55|      0.249023
     232       2|       mu-|        13|            -1|       928.622|     -0.442749|      -1.16602|       1021.14|      0.105713
     232       3|       mu-|        13|             1|       349.508|       -0.4776|     -0.445007|       390.133|      0.105713
     232       4|       mu-|        13|            -1|       66.8863|      0.188141|      0.985596|       68.0736|      0.105713
     233       1|        e-|        11|            -1|        624.75|     -0.137817|      -2.29688|       630.693|       0.17395
     233       2|       mu-|        13|             1|       1105.63|     -0.206665|     -0.516602|       1129.32|      0.105713
     234       1|       mu-|        13|            -1|       582.679|      -1.36621|       1.11157|        1216.5|      0.105713
     234       2|       mu-|        13|            -1|       118.887|     -0.225372|       -1.2583|       121.919|      0.105713
     235       1|        e-|        11|             1|       607.443|       0.11824|      -2.59717|       611.694|      0.187866
     235       2|       mu-|        13|             1|        721.91|     -0.465942|       1.16748|       801.702|      0.105713
     235       3|       mu-|        13|            -1|       475.148|       1.17603|       1.09497|        843.38|      0.105713
     236       1|        e-|        11|            -1|       906.858|      0.243073|        -0.875|        933.78|      0.276123
     236       2|        e-|        11|            -1|       560.678|     -0.148438|      -3.00342|       566.866|     -0.108398
     236       3|        e-|        11|             1|       171.984|      -2.09961|      -1.59326|       712.486|     -0.126221
     236       4|       mu-|        13|             1|       964.798|     0.0018394|       1.62085|       964.799|      0.105713
     237       1|        e-|        11|             1|       562.477|     -0.411926|      -2.22852|       610.877|      0.188599
     237       2|       mu-|        13|            -1|           641|    -0.0775909|       1.69873|        642.93|      0.105713
     238       1|        e-|        11|             1|       470.637|      -1.17358|      0.856201|       833.691|     -0.187378
     238       2|       mu-|        13|             1|       381.336|   -0.00720215|      -2.85547|       381.346|      0.105713
     239       1|        e-|        11|             1|       520.813|      0.310425|      -1.26636|       546.109|     0.0598145
     239       2|        e-|        11|            -1|       57.6137|     -0.434998|       3.11084|       63.1511|     0.0160675
     240       1|        e-|        11|            -1|       283.604|      0.636353|      -2.30225|        342.99|    -0.0921631
     240       2|       mu-|        13|            -1|       640.853|      -1.33374|       2.10693|       1300.52|      0.105713
     241       1|        e-|        11|             1|       201.757|     -0.671265|      -1.14575|       248.946|    -0.0284729
     241       2|       mu-|        13|            -1|       888.357|      0.231812|       1.27246|       912.333|      0.105713
     241       3|       mu-|        13|            -1|       519.413|     -0.533813|      -2.73291|       595.192|      0.105713
     242       1|        e-|        11|            -1|       1040.71|      0.405701|     -0.954834|       1127.54|      0.130615
     242       2|        e-|        11|            -1|       466.429|      0.890381|        1.2998|       663.858|     0.0630493
     242       3|       mu-|        13|             1|       523.769|      0.828735|      -2.28271|       714.164|      0.105713
     243       1|        e-|        11|             1|       462.389|     -0.135315|       2.20361|       466.628|      0.139038
     243       2|        e-|        11|             1|       321.393|     -0.709473|      -1.78711|        405.73|     0.0463867
     243       3|       mu-|        13|            -1|       471.685|      0.447876|      0.363525|        519.79|      0.105713
     243       4|       mu-|        13|            -1|        401.69|      -1.71631|       1.52124|       1153.59|      0.105713
     244       1|        e-|        11|            -1|       1058.19|     -0.641968|      -2.28516|       1283.83|     -0.148437
     244       2|        e-|        11|             1|       992.246|    -0.0500565|       1.96387|        993.49|     -0.154663
     244       3|       mu-|        13|            -1|       258.329|      -1.72241|     -0.901245|       746.139|      0.105713
     245       1|        e-|        11|            -1|       541.397|       1.04102|       -1.2876|       862.226|      0.195435
     245       2|        e-|        11|             1|        468.06|       1.02954|      -1.64453|       738.821|      0.279785
     245       3|        e-|        11|            -1|       55.1264|     -0.350098|       2.83301|       58.5394|     0.0127029
     246       1|        e-|        11|            -1|       1204.52|     -0.233337|       2.29102|       1237.46|     -0.312744
     246       2|       mu-|        13|            -1|       340.633|      0.162689|     -0.836182|       345.151|      0.105713
     246       3|       mu-|        13|             1|       184.554|      -1.60156|      -1.30249|       476.367|      0.105713
     247       1|        e-|        11|            -1|       269.405|       1.43066|      -1.36499|       595.469|     -0.198486
     247       2|       mu-|        13|             1|       696.422|     -0.559204|      0.620361|       808.178|      0.105713
     248       1|        e-|        11|            -1|       1212.08|     -0.636841|     -0.822144|       1466.28|     -0.281738
     248       2|        e-|        11|             1|       361.577|      0.127258|      -1.57739|       364.509|    -0.0370483
     248       3|       mu-|        13|            -1|       107.924|     -0.823608|       2.40283|       146.645|      0.105713
     249       1|       mu-|        13|             1|       665.042|       1.09521|       2.53809|        1105.4|      0.105713
     249       2|       mu-|        13|            -1|       538.441|      0.979858|      -3.06982|        818.28|      0.105713
     250       1|        e-|        11|             1|       768.825|     -0.962646|      0.326538|       1153.43|     -0.278076
     250       2|       mu-|        13|            -1|       458.624|     -0.152863|       2.50928|       463.993|      0.105713
     251       1|        e-|        11|            -1|       1355.44|     -0.205109|      0.797119|       1384.05|      0.496338
     251       2|        e-|        11|             1|       1189.66|   -0.00694847|      -2.17676|       1189.69|      0.215088
     251       3|       mu-|        13|            -1|       357.301|    -0.0826874|      -1.53516|       358.523|      0.105713
