event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     822       2|       mu-|        13|            -1|       1412.08|      0.237488|    -0.0439987|       1452.09|      0.105713
     822       3|       mu-|        13|             1|       272.765|     -0.947998|      0.842773|        404.79|      0.105713
     822       4|       mu-|        13|            -1|        248.46|     -0.504883|      -2.58789|       280.805|      0.105713
     823       1|        e-|        11|            -1|        514.17|      0.814087|        2.9043|        694.17|    -0.0307312
     823       2|        e-|        11|             1|       454.619|      0.683472|       1.29785|       565.001|     -0.162354
     823       3|       mu-|        13|             1|       652.885|     -0.715698|     -0.252808|       827.357|      0.105713
     824       1|        e-|        11|            -1|       841.943|      0.608154|      0.379456|        1002.5|      0.206421
     824       2|        e-|        11|             1|       90.3604|        1.5686|       2.95215|       226.275|     0.0155869
     824       3|       mu-|        13|            -1|       503.699|       1.52686|      -1.84863|       1214.14|      0.105713
     824       4|       mu-|        13|             1|       97.4077|     -0.231689|      0.145294|       100.034|      0.105713
     825       1|        e-|        11|            -1|       1391.77|      0.458069|      -1.66382|       1540.35|       0.25415
     825       2|        e-|        11|            -1|       496.677|       1.82104|      -2.21533|       1574.51|     -0.320557
     825       3|       mu-|        13|             1|        1294.5|      0.692261|       0.92981|       1617.26|      0.105713
     825       4|       mu-|        13|             1|       897.093|    -0.0731354|       1.91797|       899.494|      0.105713
     826       1|        e-|        11|            -1|       798.195|      -1.30371|       1.30127|       1578.22|     -0.288574
     826       2|        e-|        11|             1|        324.32|      -1.02954|      -1.16748|        511.93|    -0.0838623
     826       3|        e-|        11|             1|       232.059|         1.271|      0.522583|       446.128|    -0.0758057
     827       1|        e-|        11|            -1|       603.089|      0.585205|      -1.58032|       709.339|     0.0933228
     827       2|       mu-|        13|             1|       677.872|      0.423157|      0.609619|       739.473|      0.105713
     827       3|       mu-|        13|             1|       577.533|       1.35083|       2.92285|       1189.62|      0.105713
     828       1|        e-|        11|            -1|       1224.53|      0.404297|     -0.202972|       1325.98|     0.0981445
     828       2|        e-|        11|             1|       407.098|     -0.497375|      -1.54785|       458.499|     -0.098999
     829       1|        e-|        11|            -1|       1098.85|     -0.072464|       1.61353|       1101.74|     0.0836182
     829       2|        e-|        11|            -1|       319.202|      0.865723|      -1.76147|        446.48|     0.0965576
     830       1|        e-|        11|             1|       694.051|      -1.44312|      -2.33252|       1551.22|      0.172729
     830       2|       mu-|        13|            -1|       685.693|     -0.907715|       2.41699|       988.116|      0.105713
     830       3|       mu-|        13|            -1|       221.431|      0.742676|      0.401245|       285.358|      0.105713
     831       1|        e-|        11|            -1|       577.611|     -0.018425|       2.62695|        577.71|      0.216187
     831       2|        e-|        11|             1|       101.197|     -0.661133|        2.9502|       124.131|    -0.0294495
     831       3|       mu-|        13|            -1|       846.477|      0.128937|      -1.44531|       853.523|      0.105713
     832       1|        e-|        11|             1|       257.316|      -1.24146|     -0.140106|       482.417|    -0.0891113
     832       2|       mu-|        13|            -1|       424.023|      0.943237|      0.284668|       627.055|      0.105713
     832       3|       mu-|        13|            -1|       370.186|      -1.13843|       2.68506|       637.124|      0.105713
     833       1|        e-|        11|             1|        367.69|     -0.341248|      -1.68433|       389.307|     0.0922852
     833       2|        e-|        11|            -1|       342.276|     -0.930176|     -0.437805|       501.338|     0.0801392
     833       3|       mu-|        13|             1|       1228.02|     -0.676514|       0.74292|       1519.91|      0.105713
     833       4|       mu-|        13|            -1|       470.569|     -0.347351|      -2.88184|       499.243|      0.105713
     834       1|        e-|        11|            -1|       757.663|     -0.426086|         2.104|       827.487|     0.0842896
     834       2|        e-|        11|             1|       630.991|     -0.570313|      -1.72656|       736.419|     -0.138062
     834       3|        e-|        11|             1|       277.029|     -0.591797|       2.72461|       326.972|       0.11084
     834       4|       mu-|        13|             1|       742.367|       1.20264|     -0.140045|       1347.13|      0.105713
     835       1|        e-|        11|             1|       1063.82|      0.350891|      -2.71924|       1129.99|      0.391113
     835       2|        e-|        11|            -1|       744.047|     -0.240601|       1.18848|       765.687|      0.222046
     835       3|        e-|        11|            -1|       329.052|       1.75122|      0.185486|       976.495|     0.0882568
     836       1|       mu-|        13|             1|       659.334|     -0.327209|       -1.5166|       694.946|      0.105713
     836       2|       mu-|        13|            -1|       557.733|       -1.2478|       0.84668|       1051.27|      0.105713
     836       3|       mu-|        13|            -1|       376.119|      0.885986|     -0.323059|       533.654|      0.105713
     837       1|        e-|        11|             1|       555.079|      0.359314|      -1.24609|       591.299|     -0.126099
     837       2|       mu-|        13|            -1|       455.134|      0.228271|     0.0765076|       467.043|      0.105713
     837       3|       mu-|        13|             1|       270.526|      0.311584|       2.22998|       283.765|      0.105713
     838       1|        e-|        11|            -1|       952.252|     -0.745361|      -1.69946|       1229.25|    -0.0714111
     838       2|       mu-|        13|             1|       435.465|    -0.0107117|       1.15454|        435.49|      0.105713
     838       3|       mu-|        13|            -1|       270.089|      0.855591|      0.706665|       375.126|      0.105713
     839       1|        e-|        11|            -1|       173.806|     -0.722168|       2.36768|       221.133|    -0.0289154
     839       2|       mu-|        13|             1|       913.212|     -0.495178|      0.309143|       1027.48|      0.105713
     840       1|       mu-|        13|             1|        913.79|      -0.19986|      -2.79492|       932.101|      0.105713
     840       2|       mu-|        13|             1|       169.028|      -2.22021|       1.72754|       787.491|      0.105713
     841       1|       mu-|        13|            -1|          1207|      0.320068|       2.43115|       1269.35|      0.105713
     841       2|       mu-|        13|             1|       1186.02|    -0.0253906|      -1.55859|        1186.4|      0.105713
     841       3|       mu-|        13|             1|       663.802|    -0.0761108|      0.320679|       665.726|      0.105713
     841       4|       mu-|        13|            -1|       390.344|       1.09839|      0.417847|       650.456|      0.105713
     842       1|       mu-|        13|             1|       599.367|      0.323303|    -0.0203819|       630.965|      0.105713
     842       2|       mu-|        13|            -1|       483.585|     -0.107666|       2.19678|        486.39|      0.105713
